dia;dia_semana;fim_semana;duracao;frequencia;durfreq;outlier
1;0;0;2684,0;1,0;2684,0;1
2;1;0;4710,0;2,0;2355,0;1
3;2;0;6173,0;2,0;3086,5;1
4;3;0;5820,0;2,0;2910,0;1
5;4;0;5823,0;2,0;2911,5;1
6;5;1;4140,0;2,0;2070,0;1
7;6;1;5268,0;2,0;2634,0;1
8;0;0;2533,0;1,0;2533,0;1
9;1;0;5433,0;2,0;2716,5;1
10;2;0;4755,0;2,0;2377,5;1
11;3;0;3122,0;1,0;3122,0;1
12;4;0;6055,0;2,0;3027,5;1
13;5;1;4535,0;2,0;2267,5;1
14;6;1;6387,0;2,0;3193,5;1
15;0;0;2105,0;1,0;2105,0;1
16;1;0;5088,0;2,0;2544,0;1
17;2;0;6640,0;2,0;3320,0;1
18;3;0;5422,0;2,0;2711,0;1
19;4;0;3047,0;1,0;3047,0;1
20;5;1;2828,0;1,0;2828,0;1
21;6;1;2365,0;1,0;2365,0;1
22;0;0;5886,0;2,0;2943,0;1
23;1;0;2664,0;1,0;2664,0;1
24;2;0;4002,0;2,0;2001,0;1
25;3;0;5163,0;2,0;2581,5;1
26;4;0;5021,0;2,0;2510,5;1
27;5;1;5040,0;2,0;2520,0;1
28;6;1;5303,0;2,0;2651,5;1
29;0;0;5828,0;2,0;2914,0;1
30;1;0;3324,0;1,0;3324,0;1
31;2;0;4584,0;2,0;2292,0;1
32;3;0;6592,0;2,0;3296,0;1
33;4;0;6264,0;2,0;3132,0;1
34;5;1;2449,0;1,0;2449,0;1
35;6;1;6489,0;2,0;3244,5;1
36;0;0;5252,0;2,0;2626,0;1
37;1;0;5429,0;2,0;2714,5;1
38;2;0;6036,0;2,0;3018,0;1
39;3;0;5946,0;2,0;2973,0;1
40;4;0;3208,0;1,0;3208,0;1
41;5;1;5797,0;2,0;2898,5;1
42;6;1;3930,0;2,0;1965,0;1
43;0;0;5024,0;2,0;2512,0;1
44;1;0;4999,0;2,0;2499,5;1
45;2;0;3569,0;1,0;3569,0;1
46;3;0;4987,0;2,0;2493,5;1
47;4;0;4680,0;2,0;2340,0;1
48;5;1;3407,0;1,0;3407,0;1
49;6;1;6347,0;2,0;3173,5;1
50;0;0;5011,0;2,0;2505,5;1
51;1;0;5125,0;2,0;2562,5;1
52;2;0;3294,0;1,0;3294,0;1
53;3;0;5344,0;2,0;2672,0;1
54;4;0;3042,0;1,0;3042,0;1
55;5;1;3234,0;1,0;3234,0;1
56;6;1;5238,0;2,0;2619,0;1
57;0;0;5782,0;2,0;2891,0;1
58;1;0;4574,0;2,0;2287,0;1
59;2;0;2490,0;1,0;2490,0;1
60;3;0;2087,0;1,0;2087,0;1
61;4;0;5366,0;2,0;2683,0;1
62;5;1;2908,0;1,0;2908,0;1
63;6;1;5307,0;2,0;2653,5;1
64;0;0;5474,0;2,0;2737,0;1
65;1;0;2819,0;1,0;2819,0;1
66;2;0;4707,0;2,0;2353,5;1
67;3;0;5611,0;2,0;2805,5;1
68;4;0;5051,0;2,0;2525,5;1
69;5;1;5433,0;2,0;2716,5;1
70;6;1;5119,0;2,0;2559,5;1
71;0;0;2110,0;1,0;2110,0;1
72;1;0;4206,0;2,0;2103,0;1
73;2;0;5605,0;2,0;2802,5;1
74;3;0;4342,0;2,0;2171,0;1
75;4;0;5733,0;2,0;2866,5;1
76;5;1;4807,0;2,0;2403,5;1
77;6;1;4595,0;2,0;2297,5;1
78;0;0;3252,0;1,0;3252,0;1
79;1;0;2256,0;1,0;2256,0;1
80;2;0;6625,0;2,0;3312,5;1
81;3;0;5549,0;2,0;2774,5;1
82;4;0;5732,0;2,0;2866,0;1
83;5;1;6254,0;2,0;3127,0;1
84;6;1;5804,0;2,0;2902,0;1
85;0;0;3313,0;1,0;3313,0;1
86;1;0;5864,0;2,0;2932,0;1
87;2;0;4646,0;2,0;2323,0;1
88;3;0;3583,0;1,0;3583,0;1
89;4;0;6220,0;2,0;3110,0;1
90;5;1;5643,0;2,0;2821,5;1
91;6;1;4025,0;2,0;2012,5;1
92;0;0;5080,0;2,0;2540,0;1
93;1;0;6114,0;2,0;3057,0;1
94;2;0;7005,0;2,0;3502,5;1
95;3;0;4375,0;2,0;2187,5;1
96;4;0;3155,0;1,0;3155,0;1
97;5;1;5935,0;2,0;2967,5;1
98;6;1;5977,0;2,0;2988,5;1
99;0;0;3370,0;1,0;3370,0;1
100;1;0;4418,0;2,0;2209,0;1
101;2;0;5879,0;2,0;2939,5;1
102;3;0;5383,0;2,0;2691,5;1
103;4;0;3544,0;1,0;3544,0;1
104;5;1;6443,0;2,0;3221,5;1
105;6;1;3125,0;1,0;3125,0;1
106;0;0;4072,0;2,0;2036,0;1
107;1;0;5278,0;2,0;2639,0;1
108;2;0;5478,0;2,0;2739,0;1
109;3;0;2580,0;1,0;2580,0;1
110;4;0;5166,0;2,0;2583,0;1
111;5;1;5617,0;2,0;2808,5;1
